92	20	2847
-1	-1	-1	336	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	15	-1	-1	-1	-1	-1	-1	-1	438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	154	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	50	-1	-1	-1	20	-1	-1	958	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	240	-1	-1	-1	-1	79	-1	7	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	262	-1	-1	-1	-1	-1	-1	-1	248	73	-1	-1	33	-1	-1	766	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1743	-1	13	-1	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	2066	-1	-1	-1	-1	1616	2497	
-1	-1	81	225	-1	-1	-1	-1	127	-1	205	-1	45	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	143	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	171	228	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	631	107	-1	-1	-1	3	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	546	-1	
-1	-1	-1	-1	389	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	227	519	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	97	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	313	271	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	513	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	76	-1	-1	-1	-1	-1	101	-1	-1	-1	-1	93	-1	-1	1240	2523	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	383	-1	149	-1	-1	285	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	693	-1	-1	-1	-1	-1	386	-1	-1	352	-1	-1	-1	609	-1	-1	1232	-1	-1	210	-1	-1	-1	-1	-1	-1	8	-1	172	-1	141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	1	-1	-1	-1	-1	-1	622	1174	
5	-1	155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	371	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	124	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	1570	
-1	674	-1	-1	601	-1	601	356	693	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	162	-1	-1	-1	-1	179	-1	-1	-1	-1	663	-1	837	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	185	674	-1	-1	-1	-1	-1	-1	-1	214	-1	-1	-1	2197	669	
-1	-1	-1	-1	-1	-1	-1	-1	-1	66	-1	171	-1	-1	157	-1	228	-1	-1	-1	228	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	331	-1	-1	-1	-1	-1	67	28	684	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	361	-1	-1	-1	1928	2691	
84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	271	-1	-1	-1	-1	20	-1	5	855	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	369	-1	-1	-1	-1	92	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	187	-1	-1	-1	-1	-1	-1	36	-1	-1	830	1567	
-1	377	1072	-1	-1	-1	413	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	711	-1	53	264	-1	-1	331	9	-1	-1	-1	292	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	282	-1	-1	-1	-1	364	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	532	-1	-1	-1	177	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	423	-1	-1	-1	-1	-1	-1	-1	-1	2344	834	
